week,valorant_search_interest,month
2024-07-01,70,2024-07
2024-07-02,72,2024-07
2024-07-03,72,2024-07
2024-07-04,73,2024-07
2024-07-05,66,2024-07
2024-07-06,69,2024-07
2024-07-07,77,2024-07
2024-07-08,65,2024-07
2024-07-09,63,2024-07
2024-07-10,58,2024-07
2024-07-11,60,2024-07
2024-07-12,62,2024-07
2024-07-13,64,2024-07
2024-07-14,65,2024-07
2024-07-15,60,2024-07
2024-07-16,69,2024-07
2024-07-17,72,2024-07
2024-07-18,73,2024-07
2024-07-19,75,2024-07
2024-07-20,78,2024-07
2024-07-21,70,2024-07
2024-07-22,59,2024-07
2024-07-23,58,2024-07
2024-07-24,60,2024-07
2024-07-25,64,2024-07
2024-07-26,68,2024-07
2024-07-27,82,2024-07
2024-07-28,89,2024-07
2024-07-29,81,2024-07
2024-07-30,86,2024-07
2024-07-31,86,2024-07
2024-08-01,83,2024-08
2024-08-02,84,2024-08
2024-08-03,94,2024-08
2024-08-04,95,2024-08
2024-08-05,79,2024-08
2024-08-06,79,2024-08
2024-08-07,82,2024-08
2024-08-08,81,2024-08
2024-08-09,76,2024-08
2024-08-10,92,2024-08
2024-08-11,83,2024-08
2024-08-12,75,2024-08
2024-08-13,73,2024-08
2024-08-14,72,2024-08
2024-08-15,77,2024-08
2024-08-16,93,2024-08
2024-08-17,83,2024-08
2024-08-18,84,2024-08
2024-08-19,63,2024-08
2024-08-20,60,2024-08
2024-08-21,59,2024-08
2024-08-22,58,2024-08
2024-08-23,76,2024-08
2024-08-24,92,2024-08
2024-08-25,100,2024-08
2024-08-26,70,2024-08
2024-08-27,70,2024-08
2024-08-28,73,2024-08
2024-08-29,63,2024-08
2024-08-30,59,2024-08
2024-08-31,65,2024-08
2024-09-01,67,2024-09
2024-09-02,72,2024-09
2024-09-03,50,2024-09
2024-09-04,50,2024-09
2024-09-05,43,2024-09
2024-09-06,44,2024-09
2024-09-07,54,2024-09
2024-09-08,58,2024-09
2024-09-09,42,2024-09
2024-09-10,56,2024-09
2024-09-11,46,2024-09
2024-09-12,46,2024-09
2024-09-13,45,2024-09
2024-09-14,60,2024-09
2024-09-15,57,2024-09
2024-09-16,44,2024-09
2024-09-17,42,2024-09
2024-09-18,39,2024-09
2024-09-19,39,2024-09
2024-09-20,44,2024-09
2024-09-21,57,2024-09
2024-09-22,52,2024-09
2024-09-23,40,2024-09
2024-09-24,42,2024-09
2024-09-25,40,2024-09
2024-09-26,43,2024-09
2024-09-27,47,2024-09
2024-09-28,56,2024-09
2024-09-29,53,2024-09
2024-09-30,41,2024-09
2024-10-01,35,2024-10
2024-10-02,39,2024-10
2024-10-03,40,2024-10
2024-10-04,36,2024-10
2024-10-05,43,2024-10
2024-10-06,46,2024-10
2024-10-07,40,2024-10
2024-10-08,39,2024-10
2024-10-09,44,2024-10
2024-10-10,40,2024-10
2024-10-11,39,2024-10
2024-10-12,46,2024-10
2024-10-13,44,2024-10
2024-10-14,34,2024-10
2024-10-15,34,2024-10
2024-10-16,35,2024-10
2024-10-17,34,2024-10
2024-10-18,38,2024-10
2024-10-19,44,2024-10
2024-10-20,44,2024-10
2024-10-21,40,2024-10
2024-10-22,45,2024-10
2024-10-23,47,2024-10
2024-10-24,42,2024-10
2024-10-25,36,2024-10
2024-10-26,41,2024-10
2024-10-27,40,2024-10
2024-10-28,32,2024-10
2024-10-29,30,2024-10
2024-10-30,27,2024-10
2024-10-31,27,2024-10
2024-11-01,28,2024-11
2024-11-02,39,2024-11
2024-11-03,38,2024-11
2024-11-04,31,2024-11
2024-11-05,31,2024-11
2024-11-06,21,2024-11
2024-11-07,27,2024-11
2024-11-08,35,2024-11
2024-11-09,48,2024-11
2024-11-10,44,2024-11
2024-11-11,36,2024-11
2024-11-12,31,2024-11
2024-11-13,32,2024-11
2024-11-14,30,2024-11
2024-11-15,31,2024-11
2024-11-16,37,2024-11
2024-11-17,43,2024-11
2024-11-18,33,2024-11
2024-11-19,39,2024-11
2024-11-20,41,2024-11
2024-11-21,34,2024-11
2024-11-22,34,2024-11
2024-11-23,42,2024-11
2024-11-24,41,2024-11
2024-11-25,36,2024-11
2024-11-26,34,2024-11
2024-11-27,36,2024-11
2024-11-28,39,2024-11
2024-11-29,37,2024-11
2024-11-30,37,2024-11
2024-12-01,41,2024-12
2024-12-02,29,2024-12
2024-12-03,30,2024-12
2024-12-04,28,2024-12
2024-12-05,39,2024-12
2024-12-06,54,2024-12
2024-12-07,50,2024-12
2024-12-08,43,2024-12
2024-12-09,34,2024-12
2024-12-10,35,2024-12
2024-12-11,35,2024-12
2024-12-12,34,2024-12
2024-12-13,33,2024-12
2024-12-14,40,2024-12
2024-12-15,41,2024-12
2024-12-16,32,2024-12
2024-12-17,31,2024-12
2024-12-18,30,2024-12
2024-12-19,28,2024-12
2024-12-20,30,2024-12
2024-12-21,34,2024-12
2024-12-22,37,2024-12
2024-12-23,34,2024-12
2024-12-24,36,2024-12
2024-12-25,42,2024-12
2024-12-26,34,2024-12
2024-12-27,36,2024-12
2024-12-28,36,2024-12
2024-12-29,35,2024-12
2024-12-30,36,2024-12
2024-12-31,35,2024-12
